Designator,Mid X,Mid Y,Rotation,Layer
Di24,98.295478,-32.257291,270.0,bottom
Di3_2,86.845478,-86.557291,270.0,bottom
Di3,103.862978,-155.193399,90.0,bottom
Di4_2,120.182978,-67.507291,270.0,bottom
Di4,136.562978,-175.343399,90.0,bottom
Di5_2,43.982978,-67.507291,270.0,bottom
Di5,61.262978,-174.093399,90.0,bottom
Di6_2,80.242978,-190.423399,90.0,bottom
Di6,62.495478,-51.557291,270.0,bottom
Di7_2,123.462978,-131.843399,90.0,bottom
Di7,105.895478,-105.607291,270.0,bottom
Di8_2,86.845478,-105.607291,270.0,bottom
Di8,104.412978,-131.843399,90.0,bottom
Di9_2,67.795478,-105.607291,270.0,bottom
Di9,85.362978,-131.843399,90.0,bottom
F1_2,150.495478,-109.957291,0.0,bottom
F1,140.862978,-135.743399,270.0,bottom
IC2_2,162.462978,-127.343399,180.0,bottom
IC2,162.355478,-110.782291,270.0,bottom
IC3_2,142.370478,-32.758291,180.0,bottom
IC3,142.320456,-207.622541,180.0,bottom
IC4_2,143.895478,-93.257291,0.0,bottom
IC4,155.662978,-173.143399,180.0,bottom
IC5_2,144.162978,-173.143399,180.0,bottom
IC5,142.995478,-72.282291,180.0,bottom
IC6_2,158.524978,-135.443399,180.0,bottom
IC6,163.133478,-97.857291,0.0,bottom
J1_2,149.830456,-123.623541,180.0,bottom
J1,149.880478,-116.757291,0.0,bottom
J6_2,135.185478,-25.157291,270.0,top
J6,135.342978,-215.223541,90.0,top
J7_2,156.275478,-54.397291,270.0,top
J7,144.162978,-185.983541,90.0,top
L1_2,150.762978,-208.843399,180.0,bottom
L1,150.345478,-31.157291,180.0,bottom
L2_2,152.895478,-25.597291,270.0,bottom
L2,152.262978,-214.043399,90.0,bottom
L3_2,160.462978,-135.943399,90.0,bottom
L3,160.995478,-96.857291,270.0,bottom
L5_2,162.212978,-122.693399,180.0,bottom
L5,162.695478,-115.607291,90.0,bottom
R1_2,149.262978,-123.143399,90.0,top
R1,150.995478,-117.157291,270.0,top
R10_2,142.095478,-106.107291,270.0,top
R10,155.562978,-143.443399,90.0,bottom
R2_2,150.8805,-123.163257,90.0,top
R2,149.295478,-117.157291,270.0,top
R3_2,156.765478,-112.377291,180.0,bottom
R3,155.462978,-136.543399,90.0,bottom
R4_2,153.862978,-135.143399,270.0,bottom
R4,152.195478,-106.857291,90.0,bottom
R5_2,150.562978,-140.843399,90.0,bottom
R5,151.505478,-104.517291,180.0,bottom
R6_2,151.082978,-131.923399,180.0,bottom
R6,152.755478,-102.727291,180.0,bottom
R7_2,149.965478,-100.357291,90.0,bottom
R7,153.762978,-139.043399,90.0,bottom
R9_2,146.162978,-167.143399,90.0,bottom
R9,150.745478,-66.657291,180.0,bottom
S1_2,133.445478,-108.607291,180.0,top
S1,133.395456,-131.773541,0.0,top
S10_2,76.295478,-89.557291,180.0,top
S10,76.245456,-150.823541,0.0,top
S11_2,57.195456,-150.823541,0.0,top
S11,57.245478,-89.557291,180.0,top
S12_2,35.814228,-89.557291,180.0,top
S12,35.764206,-150.823541,0.0,top
S13_2,128.682978,-70.507291,180.0,top
S13,128.632956,-169.873541,0.0,top
S14_2,109.632978,-70.507291,180.0,top
S14,109.582956,-169.873541,0.0,top
S15_2,90.532956,-169.873541,0.0,top
S15,90.582978,-70.507291,180.0,top
S16_2,71.532978,-70.507291,180.0,top
S16,71.482956,-169.873541,0.0,top
S17_2,52.482978,-70.507291,180.0,top
S17,52.432956,-169.873541,0.0,top
S18_2,33.432978,-70.507291,180.0,top
S18,33.382956,-169.873541,0.0,top
S19_2,119.107956,-188.923541,0.0,top
S19,119.157978,-51.457291,180.0,top
S2_2,114.395478,-108.607291,180.0,top
S2,114.345456,-131.773541,0.0,top
S20_2,90.582976,-51.457291,180.0,top
S20,90.532954,-188.923541,0.0,top
S21_2,71.532978,-51.457291,180.0,top
S21,71.482956,-188.923541,0.0,top
S22_2,52.482978,-51.457291,180.0,top
S22,52.432956,-188.923541,0.0,top
S23_2,33.432978,-51.457291,180.0,top
S23,33.382956,-188.923541,0.0,top
S24_2,107.251728,-32.407291,180.0,top
S24,107.201706,-207.973541,0.0,top
S26_2,162.620456,-125.223541,90.0,top
S26,162.670478,-115.157291,90.0,top
S3_2,95.345478,-108.607291,180.0,top
S3,95.295456,-131.773541,0.0,top
S4_2,76.295478,-108.607291,180.0,top
S4,76.245456,-131.773541,0.0,top
S5_2,57.245478,-108.607291,180.0,top
S5,57.195456,-131.773541,0.0,top
S6_2,35.764206,-131.773541,0.0,top
S6,35.814228,-108.607291,180.0,top
S7_2,133.445478,-89.557291,180.0,top
S7,133.395456,-150.823541,0.0,top
S8_2,114.395478,-89.557291,180.0,top
S8,114.345456,-150.823541,0.0,top
S9_2,95.295456,-150.823541,0.0,top
S9,95.345478,-89.557291,180.0,top
U1_2,150.362978,-136.793399,180.0,bottom
U1,152.995478,-97.307291,270.0,bottom
U2_2,157.195478,-109.232291,180.0,bottom
U2,154.962978,-131.143399,180.0,bottom
U3_2,145.295478,-105.057291,0.0,bottom
U3,145.062978,-135.443399,180.0,bottom
U5_2,152.802978,-161.263541,0.0,top
U5,152.835478,-79.117291,180.0,top
U6_2,152.855478,-99.067291,180.0,top
U6,152.822978,-141.313541,0.0,top
Y1_2,147.862978,-212.243399,0.0,bottom
Y1,152.045478,-37.937291,90.0,bottom
